,_id,주성분코드,Spec
0,5f3dca6de37cbadbc379ae28,100301ACH,magnesium trihydrate salt of chenodesoxycholic acid and ursodesoxycholic acid  0.25g   (단일)
1,5f3dca6de37cbadbc379ae29,101406ATB,acetaminophen(encapsulated)  80mg   (단일)
2,5f3dca6de37cbadbc379ae2a,101303ATB,acetaminophen  0.3g   (단일)
3,5f3dca6de37cbadbc379ae2b,101430ATR,acetaminophen(encapsulated)  0.65g   (단일)
4,5f3dca6de37cbadbc379ae2c,100901ACS,aceclofenac  0.1g   (단일)
5,5f3dca6de37cbadbc379ae2d,101433ASS,acetaminophen(encapsulated)  16g(32mg/mL)   (단일)
6,5f3dca6de37cbadbc379ae2e,101501ATB,acetazolamide  0.25g   (단일)
7,5f3dca6de37cbadbc379ae2f,100430BIJ,abciximab  5mg(2mg/mL)   (단일)
8,5f3dca6de37cbadbc379ae30,100901ATB,aceclofenac  0.1g   (단일)
9,5f3dca6de37cbadbc379ae31,100501ATE,acamprosate  0.333g   (단일)
10,5f3dca6de37cbadbc379ae32,100903ATR,aceclofenac  0.2g   (단일)
11,5f3dca6de37cbadbc379ae33,101332ASY,acetaminophen  120g(0.4g/g)   (단일)
12,5f3dca6de37cbadbc379ae34,100601ATB,acarbose  0.1g   (단일)
13,5f3dca6de37cbadbc379ae35,101305ATB,acetaminophen  0.5g   (단일)
14,5f3dca6de37cbadbc379ae36,101330ASS,acetaminophen  16g(32mg/mL)   (단일)
15,5f3dca6de37cbadbc379ae37,100602ATB,acarbose  50mg   (단일)
16,5f3dca6de37cbadbc379ae38,101807ATB,acetylcysteine  0.6g   (단일)
17,5f3dca6de37cbadbc379ae39,102502ATB,aclatonium napadisilate  50mg   (단일)
18,5f3dca6de37cbadbc379ae3a,101830AGN,acetylcysteine  0.2g(0.2g/g)   (단일)
19,5f3dca6de37cbadbc379ae3b,101836BIJ,acetylcysteine  1g(0.1g/mL)   (단일)
20,5f3dca6de37cbadbc379ae3c,102301ACH,acitretin  10mg   (단일)
21,5f3dca6de37cbadbc379ae3d,101840ASY,acetylcysteine  11g(20mg/mL)   (단일)
22,5f3dca6de37cbadbc379ae3e,102942ASY,acyclovir  12g(80mg/mL)   (단일)
23,5f3dca6de37cbadbc379ae3f,102940ASY,acyclovir  2.4g(80mg/mL)   (단일)
24,5f3dca6de37cbadbc379ae40,102935CCM,acyclovir  0.25g(50mg/g)   (단일)
25,5f3dca6de37cbadbc379ae41,104601ATB,alfacalcidol  0.5㎍   (단일)
